rank,ucid,title,abstract,ipc,source_file,score
1,WO-2000001467-A1,METHOD AND APPARATUS FOR PRODUCING HIGHLY CLEAN DRY AIR PROCEDE ET DISPOSITIF PERMETTANT DE PRODUIRE DE L'AIR SEC TRES PUR,"A method of producing highly clean dry air, including a raw air compressing step, a catalyst refining step for subjecting hydrogen and carbon monoxide and oxygen to a reaction, and an adsorption refining step for removing water and carbon dioxide, wherein the space velocity in the catalyst refining step is not higher than 3000 h<-1>, the adsorption refining step being carried out by passing a desiccant bed and a gaseous impurity remover bed in the direction of a flow of the raw air, the space velocity of the desiccant bed and gaseous impurity remover bed being not higher than 11000 h<-1> and not higher than 6000 h<-1> respectively. L'invention concerne un procédé qui permet de produire un air sec très pur, qui comprend une étape de compression de l'air non traité, une étape de purification par catalyseur, durant laquelle on fait réagir de l'hydrogène, du monoxyde de carbone et de l'oxygène, et une étape de purification par absorption, qui permet d'éliminer l'eau et le dioxyde de carbone. La vitesse spatiale de l'étape de purification par catalyseur est inférieure ou égale à 3000 h<-1>. L'étape de purification par absorption s'effectue en faisant passer un lit dessicateur et un lit d'élimination des impuretés gazeuses dans la direction de l'écoulement de l'air non traité. La vitesse spatiale du lit dessicateur et du lit d'élimination des impuretés gazeuses est inférieure ou égale respectivement à 11000 h<-1> et à 6000 h<-1>.",7 B01D 53/00 B01D 53/86 B01D 53/26 B01D 53/04,/Users/ledionalame/Documents/QMUL/Second Semester/Information Retrieval/Assignment 2/Project/IR-CW2/data/raw/clef_ip/WO-2000001467-A1.xml,30.064398217237976
2,WO-2000000221-A1,WATER SOLUBLE DRY COMPOSITIONS COMPOSITIONS SECHES SOLUBLES DANS L'EAU,"Defoaming agents capable of significantly inhibiting foaming occurring in re-dissolving dry compositions; and water soluble dry compositions containing these defoaming agents. The defoaming agents contain, as the essential component, hydrophobic amino acids appropriate for inhibiting foaming occurring in dissolving dry compositions containing saccharides. The water soluble dry compositions contain pharmacologically active proteinous substances, saccharides, and hydrophobic amino acids having a hydropathy index of at least about 2 and the content of the hydrophobic amino acids is about 0.05 % by weight or more but less than 40 % by weight based on the whole dry composition. Cette invention concerne des agents antimousse permettant d'inhiber sensiblement la formation de mousse qui se produit lors de la re-dissolution de compositions sèches. Cette invention concerne également des compositions sèches solubles dans l'eau qui contiennent ces agents antimousse. Ces agents antimousse contiennent, en qualité d'ingrédient principal, des acides aminés hydrophobes capables d'inhiber la formation de mousse qui se produit lors de la dissolution de compositions sèches contenant des saccharides. Ces compositions sèches et solubles dans l'eau contiennent des substances protéiniques actives sur le plan pharmaceutique, des saccharides, ainsi que des acides aminés hydrophobes ayant un indice d'hydrophobie d'au moins 2 environ. La teneur en acides aminés hydrophobes varie d'un minimum d'environ 0,05 % en poids à un maximum de 40 % en poids de la totalité de la composition sèche.",7 A61K 47/26 A61K 38/21 A61K 38/19 A61K 47/18 A61K 38/20 A61K 47/36,/Users/ledionalame/Documents/QMUL/Second Semester/Information Retrieval/Assignment 2/Project/IR-CW2/data/raw/clef_ip/WO-2000000221-A1.xml,28.3013494584021
3,WO-2000001636-A1,THE REVERSIBLE AGGLOMERATION OF FINE PARTICLE PLASTER OF PARIS AGGLOMERATION REVERSIBLE DE FINES PARTICULES DE PLATRE DE MOULAGE,"A method for the reversible agglomeration of fine particles of plaster of Paris (CaSO4.1/2H2O) and agglomerates made by the method which comprises agitating the fine particles in the presence of an organic polar liquid preferably nearly dry and having some ability to form hydrogen bonds (especially n-propanol) and then drying off most of the liquid whereby the fine particles spontaneously interlink (possibly by mechanical keying) in a way which allows the interlinks to be disrupted so as to release fine particles when the agglomerates are stirred into water by hand. Also a dry precursor mixture comprising the agglomerates containing conventional auxiliary additives for use in mixing with water to make aqueous compositions for use as filler pastes, casting materials or plaster slurries. Procédé d'agglomération réversible de fines particules de plâtre de moulage (CaSO4.1/2H2O) et agglomérats fabriqués selon ce procédé. Le procédé est caractérisé en ce qu'on agite les fines particules en présence d'un liquide polaire organique, de préférence presque anhydre, et présentant une certaine aptitude à former des liaisons hydrogène (notamment le n-propanol), en ce qu'on amène à sec la majeure partie du liquide, grâce à quoi les fines particules s'entrelacent spontanément (éventuellement par blocage mécanique) d'une manière permettant aux entrelacement d'être rompus, ce qui libère les fines particules lorsque les agglomérats sont malaxés manuellement dans de l'eau. L'invention concerne en",7 C04B 7/52 B01J 2/28 B29B 9/08,/Users/ledionalame/Documents/QMUL/Second Semester/Information Retrieval/Assignment 2/Project/IR-CW2/data/raw/clef_ip/WO-2000001636-A1.xml,25.663882177014578
4,WO-2000000215-A1,PARTICULATE DELIVERY SYSTEMS AND METHODS OF USE SYSTEMES ADMINISTRATION DE PARTICULES ET PROCEDES D'UTILISATION,"Compositions and methods are provided for the administration of particulates comprising at least one bioactive agent which, in selected embodiments, may comprise an immunoactive agent. In this respect, the invention provides for both topical and systemic delivery of the bioactive agent using, for example, the respiratory, gastrointestinal or urogenital tracts. The particulates may be in the form of dry powders or combined with a nonaqueous suspension medium to provide stabilized dispersions. In preferred embodiments, the disclosed compositions will be used in conjunction with inhalation devices such as metered dose inhalers, dry powder inhalers, atomizers or nebulizers for targeted delivery of the agent to mucosal surfaces. L'invention concerne des compositions et des procédés d'administration de particules comprenant au moins un agent bioactif lequel, dans certains modes de réalisation, peut comprendre un agent immunoréactif. A ce titre, l'invention permet une administration à la fois locale et systémique de l'agent bioactif utilisant, par exemple, les voies respiratoires, gastro-intestinales ou urogénitales. Les particules peuvent se présenter sous la forme de poudres sèches ou être combinées à un milieu de suspension non aqueux pour produire des dispersions stabilisées. Dans les modes de réalisation préférés, les compositions décrites sont utilisées conjointement avec des dispositifs d'inhalation tels que des inhalateurs à doses mesurées, des inhalateurs de poudre sèche, des atomiseurs ou des nébuliseurs permettant l'administration ciblée de l'agent sur les muqueuses.",7 A61K 39/00 A61K 9/00 A61K 9/16 A61K 9/72 A61K 9/51,/Users/ledionalame/Documents/QMUL/Second Semester/Information Retrieval/Assignment 2/Project/IR-CW2/data/raw/clef_ip/WO-2000000215-A1.xml,25.410378117938272
5,WO-2000000452-A1,A PROCESS FOR THE PREPARATION OF COMPOUND FERTILIZER GRANULES PROCEDE DE PREPARATION DE GRANULES D'ENGRAIS COMPOSE,"The invention relates to a process for the preparation of compound fertilizer granules containing at least two of the plant nutrients nitrogen, phosphorus and potassium, said process comprising the steps of: providing a solid feed material comprising at least one solid fertilizer raw material and optionally recycle material, feeding the feed material or a part thereof into a melter for melting a desired portion thereof and keeping said portion in molten state, feeding the molten or partly molten material and optionally other desired solid raw materials to a granulator to obtain a granulated product, and cooling and optionally screening the granulated product to obtain dry compound fertilizer granules having a desired size distribution, provided that no water or aqueous liquid is introduced into the process. L'invention concerne un procédé de préparation de granules d'engrais composé contenant au moins deux des éléments nutritifs pour plantes suivants: azote, phosphore et potassium. Ce procédé comprend les opération suivantes: on prend un matériau de charge solide comprenant au moins une matière première d'engrais solide et éventuellement un matériau de recyclage, on introduit ce matériau de charge ou une partie de ce dernier dans un four à fusion pour en faire fondre une portion sélectionnée et on maintient cette portion à l'état fondu, puis on introduit le matériau fondu ou partiellement fondu et éventuellement d'autres matières premières désirées dans un granulateur pour obtenir un produit granulé et on refroidit et on tamise éventuellement le produit granulé pour obtenir des granules d'engrais composé sec présentant la composition granulométrique désirée, ce procédé se déroulant sans adjonction d'eau ou de liquide aqueux.",7 C05G 5/00 C05D 1/02 C05B 19/00 C05C 3/00 C05C 9/00 B01J 2/00,/Users/ledionalame/Documents/QMUL/Second Semester/Information Retrieval/Assignment 2/Project/IR-CW2/data/raw/clef_ip/WO-2000000452-A1.xml,25.28034219060637
6,WO-1979000025-A1,"METHOD FOR SEPARATING THE ISOTOPES OF AN ELEMENT,IN PARTICULAR OF A METAL HAVING A HIGH ATOMIC WEIGHT","Method and apparatus for separating the isotopes of an element, in particular of a metal having a high atomic weight. The method comprises the preparation of a surface-active compound of said element, the dissolving of that compound in a liquid having a high surface tension, the injecting into the solution of a non-miscible substance so as to form a plurality of separation surfaces, and the recovering of the part of the solution next to the said separation surfaces. The apparatus comprises a set of tanks (1), means (2, 3) for blowing a gaz into said tanks for the purposes of producing foam, means (4, 5) for picking-up the foam and transferring it into another tank located downstream and means (6) for transferring part of the liquid from one tank into another tank located up-stream. Application to the isotopic separation of uranium.",2 B01D 59/00 C01G 43/00,/Users/ledionalame/Documents/QMUL/Second Semester/Information Retrieval/Assignment 2/Project/IR-CW2/data/raw/clef_ip/WO-1979000025-A1.xml,25.17250722457594
7,WO-2000001775-A1,POWDER COATING COMPOSITIONS COMPOSITIONS EN POUDRE POUR REVETEMENT,"Powder coating compositions incorporate, by dry blending, a wax-coated silica additive in finely divided form. Further additives which may be incorporated by dry blending are aluminium oxide and/or aluminium hydroxide. The compositions offer advantages, for example, in terms of fluidity and in terms of improved first-time deposition of fine particles. Compositions en poudre pour revêtement, dans lesquelles il est prévu d'incorporer, par mélange à sec par voie mécanique, un adjuvant de silice enrobé de cire, sous forme finement divisée. Comme autres adjuvants pouvant être incorporés par mélange à sec par voie mécanique, on mentionne l'oxyde d'aluminium et/ou l'hydroxyde d'aluminium. Les compositions sont avantageuses, par exemple, au point de vue fluidité et amélioration du dépôt, en couche de fond, des fines particules.",7 C09D 5/03,/Users/ledionalame/Documents/QMUL/Second Semester/Information Retrieval/Assignment 2/Project/IR-CW2/data/raw/clef_ip/WO-2000001775-A1.xml,24.907759885039038
8,WO-2000000426-A1,CATALYTIC PARTIAL OXIDATION WITH A RHODIUM-IRIDIUM ALLOY CATALYST OXYDATION CATALYTIQUE PARTIELLE VIA UN CATALYSEUR A ALLIAGE RHODIUM-IRIDIUM,"The invention relates to a process for the catalytic partial oxidation of a hydrocarbonaceous feedstock, which process comprises contacting a feed comprising the hydrocarbonaceous feedstock and an oxygen-containing gas with a catalyst comprising metals of Group VIII of the Periodic Table of Elements, wherein the Group VIII metals are at least rhodium and iridium in intimate association with each other. L'invention concerne un procédé d'oxydation catalytique partielle de charge hydrocarbonée, qui consiste à mettre en contact une charge renfermant ladite charge hydrocarbonée et un gaz à base d'oxygène, d'une part, et un catalyseur comprenant des métaux du groupe VIII du tableau périodique des éléments, d'autre part. Lesdits métaux sont au moins du rhodium et de l'iridium étroitement associés l'un à l'autre.",7 C01B 3/38 B01J 23/46,/Users/ledionalame/Documents/QMUL/Second Semester/Information Retrieval/Assignment 2/Project/IR-CW2/data/raw/clef_ip/WO-2000000426-A1.xml,24.376558610888328
9,WO-2000002513-A1,DISPOSABLE APPLICATOR WITH MULTIPLE CELLS APPLICATEUR A MULTI-COMPARTIMENT A USAGE UNIQUE,"The invention concerns a disposable first aid kit ensuring long-lasting sterility and non-contamination of the assembled elements and substances. The invention is characterised in that it comprises a single one-piece container (A) including two pockets (A1, A2) sealingly closed by a film (B), formed by one of the pockets (A1), for packaging a creamy or pasty liquid (A1'), and the other (A2) for packaging the dry element, pad, compress or any other natural synthetic fibre element, with absorbing or restorative property. An embrittled zone (E) is provided between the two elements such that, by simple pressure on the pocket containing the liquid element (A1), it can be pulled apart thereby communicating the fluid element with the dry element. The two pockets constitute inseparable and integral container and content. Dispositif de premiers soins à usage unique, jetable, garantissant une stérilité et non contamination durable des éléments et substances assemblées, caractérisé en ce qu'il comprend un contenant unique et monobloc (A) comprenant deux empreintes (A1, A2) hermétiquement obturés par un film (B), constitué d'une des empreintes (A1), étant prévu pour le conditionnement d'un élément liquide crémeux ou pâteux (A1'), et l'autre (A2) étant prévu pour le conditionnement de l'élément sec, tampon, compresse ou tout autre élément à fibre synthétique naturel, à pouvoir d'absorption et de restitution. La zone fragilisée (E) étant prévue entre les deux éléments pour permettre par la simple pression sur l'empreinte contenant l'élément liquide (A1), la désolidarisation de cette zone fragilisée et la communication de l'élément fluide avec l'élément sec. Les deux empreintes constituent un contenant et contenu solidaires et indissociables.",7 A61F 15/00 B65D 81/32,/Users/ledionalame/Documents/QMUL/Second Semester/Information Retrieval/Assignment 2/Project/IR-CW2/data/raw/clef_ip/WO-2000002513-A1.xml,24.28706752885481
10,WO-2000001434-A1,INHALERS INHALATEURS,"The present invention proposes treatment apparatus - specifically and in particular small (pocket-sized) hand-held apparatus. It suggests apparatus for the delivery of a medicament into the Patient's lungs in the form of a bolus, pulse, or spike of the medicament entrained in and driven by the normal respiration air, which apparatus comprises a drug dispenser (that in essence may be a conventional nebuliser or a dry-powder delivery system (11), in the reservoir (12) of which is stored the medicament to be administered, driven by some suitable pressurized gas from a valved cylinder (18) thereof to deliver an aerosol cloud of medicament into a tube (103) through which the Patient is breathing (by mouth) normal air, the gas cylinder valve (19) being controlled by a suitable programmed computing device (101) that is fed data describing the pressure within the breathing tube (103) and so is able to open and close the valve (19) at and for a time such as to drive the dispenser (11) to deliver (to the tube and thence to the Patient's lungs) a required pulse of medicament at any selected point within the Patient's respiratory cycle. L'invention concerne un dispositif de traitement, et plus spécifiquement un dispositif manuel de petite taille (format poche). Ce dispositif permet l'administration d'un médicament dans les poumons du patients sous forme de bolus, de pulse ou de décharge du médicament aspiré et entraîné par l'air normal respiré. Ce dispositif comprend principalement un distributeur de médicament (qui peut être un nébuliseur conventionnel ou un système (11) de distribution de poudre sèche dont le réservoir (12) contient le médicament à administrer, ce dernier étant entraîné par un gaz pressurisé adéquat provenant d'un cylindre (18) équipé d'une soupape afin de distribuer un nuage aérosol de médicament dans un tube (103) à travers lequel le patient respire l'air normal (par la bouche). La soupape (19) du cylindre de gaz est réglé par un dispositif (101)de calcul programmé de manière adéquate, qui reçoit des données décrivant la pression dans le tube (103) respiratoire, et qui est capable d'ouvrir et de fermer la soupape (19) à des moments et pendant une durée calculés de manière que le distributeur (11) délivre (dans le tube et donc dans les poumons du patient) le pulse nécessaire de médicament à un moment sélectionné quelconque du cycle respiratoire du patient.",7 A61M 11/06 A61M 15/00,/Users/ledionalame/Documents/QMUL/Second Semester/Information Retrieval/Assignment 2/Project/IR-CW2/data/raw/clef_ip/WO-2000001434-A1.xml,24.176412258867213
