rank,ucid,title,abstract,ipc,source_file,bm25f_score,score_title,score_abstract,score_claims,score_description
1,WO-2000002299-A1,IMPROVED POWER SUPPLY ASSEMBLY FOR HAND-HELD COMMUNICATIONS DEVICE,"A portable phone has an internal battery (10) and an external battery pack (12) that is releasably attachable to the phone. A control unit (72) in the phone controls connection of the respective batteries to a phone power input (40), depending on the detection of the external battery voltage. Whenever an external battery is present with a voltage above a predetermined minimum value, the external battery will be connected (51) to the phone power input to provide power to operate the phone, so that the internal battery lifetime is extended. When the external battery voltage falls below the minimum value, or the external battery is removed, the unit automatically switches to internal battery power (50), so that the external battery can be changed without interrupting power supply to the phone, if the phone is on or during a call. An improved multi-phase software controlled battery-charging method and apparatus is used to charge the internal and external battery packs. The preferred battery-charging method (200) uses a multi-phased charging approach comprising a trickle-charging phase (206), a fast-charging phase (208), and a top-off charging phase (214). The internal battery is charged to near-full capacity by trickle-charging (when required) and subsequently fast-charging the battery. The external battery is similarly charged to near-full capacity. Thus, both batteries are charged to near-full capacity in a substantially reduced charging time period as compared with the total charging time.",7 H02J 7/00,/Users/ledionalame/Documents/QMUL/Second Semester/Information Retrieval/Assignment 2/Project/IR-CW2/data/raw/clef_ip/WO-2000002299-A1.xml,95.32611563344467,6.671929108446699,15.850443208254504,19.78459339079305,13.932551805405994
2,WO-2000001192-A2,CALL ADMISSION CONTROL SYSTEM FOR WIRELESS ATM NETWORKS,"A system which determines whether to accept a wireless connection to a network device receives a request to initiate the wireless connection to the network device, and then determines, in response to the request, a nominal cell rate at which cells are exiting from a buffer in the network device for the requested wireless connection. Thereafter, the system determines an amount of buffer space in the network device required to accommodate the connection, and decides whether to accept the wireless connection based on the nominal cell rate and the amount of buffer space required to accommodate the connection.",7 H04Q 11/04,/Users/ledionalame/Documents/QMUL/Second Semester/Information Retrieval/Assignment 2/Project/IR-CW2/data/raw/clef_ip/WO-2000001192-A2.xml,87.63182757878907,6.132334865257621,12.809496880875088,20.332690733922394,13.116793120382438
3,WO-2000002358-A1,SECURE SESSION SET UP BASED ON THE WIRELESS APPLICATION PROTOCOL,"Method, apparatus, memory card, and system for establishing a secure connection between a wireless communication apparatus and a data communication apparatus based on a wireless application protocol. The wireless communication apparatus is provided with contact means for receiving information from a separate unit provided with memory means. The memory means comprising information to control the access of the wireless communication apparatus through a wireless communication network connected to said data communication apparatus.",7 H04L 29/06 H04L 12/22,/Users/ledionalame/Documents/QMUL/Second Semester/Information Retrieval/Assignment 2/Project/IR-CW2/data/raw/clef_ip/WO-2000002358-A1.xml,69.44910748381999,5.516379196875203,10.717424636406355,11.599755303192067,14.06548766559357
4,WO-2000000562-A1,ADHESIVE TRANSFER DEVICE,"The present invention relates to an adhesive transfer device for selectively making a repositionably adherable substrate from a selected substrate. The device comprises a base substrate, a layer of pressure-sensitive repositionable adhesive disposed on the base substrate, a layer of pressure-sensitive permanent adhesive disposed adjacent to the repositionable adhesive layer opposite the base substrate, and structure providing a release surface. The release surface is removably engaged with the permanent adhesive layer opposite the repositionable adhesive layer and the base substrate so as to cover the permanent adhesive layer. A number of various devices embodying the principles of the present invention are disclosed in the present application, including a tablet having a plurality of adhesive transfer sheets, an adhesive transfer cartridge for use with an adhesive transfer apparatus, and a dispenser for dispensing a length of the base substrate.",7 C09J 7/02 B32B 31/00,/Users/ledionalame/Documents/QMUL/Second Semester/Information Retrieval/Assignment 2/Project/IR-CW2/data/raw/clef_ip/WO-2000000562-A1.xml,68.67464408246208,9.997559994268554,8.748878300200737,10.966904376969664,4.733850933800455
5,WO-2000001132-A1,TELEPHONE DIRECTORY MANAGEMENT SYSTEM HAVING WIRELESS TELEPHONE INTERFACE CAPABILITY,"A contact management system having wireless telephone interface capability for managing contact information and the contents of a wireless telephone's phone book memory (244). The contact management system comprises, according to a preferred embodiment, a computer system (112) communicatively connectable to wireless telephone (104), and a contact management software application operating on the computer system. The contact management system enables the collection and maintenance of information pertaining to a plurality of contacts, including voice telephone numbers of the contacts. The contact management system also enables selection and grouping of user-identified voice telephone numbers into fone lists which are independently selectable and downloadable to a wireless telephone via a communication interface which is capable of choosing an appropriate device driver which is compatible with the wireless telephone.",7 H04M 1/274,/Users/ledionalame/Documents/QMUL/Second Semester/Information Retrieval/Assignment 2/Project/IR-CW2/data/raw/clef_ip/WO-2000001132-A1.xml,66.92912724764722,5.8080719122374695,11.327389167395385,9.89855365518708,12.002302693363422
6,WO-2000000928-A1,APPARATUS AND METHODS FOR IMAGING WRITTEN INFORMATION WITH A MOBILE TELEPHONE SET,"The systems and methods described herein provide communication systems that allow for the transmission of voice and data over a wireless network. To that end, the systems described herein include a mobile wireless communication system, such as a GSM telephone, and a pen input device capable of collecting information about an image written on a writing surface and capable of transmitting that information into the wireless communication device.",7 G06K 11/18 G06F 3/033,/Users/ledionalame/Documents/QMUL/Second Semester/Information Retrieval/Assignment 2/Project/IR-CW2/data/raw/clef_ip/WO-2000000928-A1.xml,66.05795703296886,0.0,12.338328646422019,18.95297425383672,12.951838359369738
7,WO-2000000419-A1,A HIGH-SPEED ROTARY TRANSFER DEVICE,"This invention provides a rotary transfer device (10) for transferring a material from one point to another point using a conjugate cam vehicle (21) and a transfer drive mechanism (28) therein to provide transfer speed ratios of between about 1x10<4>:1, about 1:1, and/or about 1:1x10<4>, and also from a stationary position to a specified speed and vice versa.",7 B65H 5/12 B65H 29/06 B65H 3/42 B65H 29/68,/Users/ledionalame/Documents/QMUL/Second Semester/Information Retrieval/Assignment 2/Project/IR-CW2/data/raw/clef_ip/WO-2000000419-A1.xml,64.04765277690218,8.112604424818915,9.151761756923332,11.01743809443447,4.880158846947073
8,WO-2000000847-A1,METHOD AND APPARATUS FOR COMPUTING DRILL BIT VIBRATION POWER SPECTRAL DENSITY,"A power spectrum density processor is located near the drill bit while drilling. The power spectral density processor computes the power spectral density of the vibrations generated by the drill bit while drilling. The power spectral density information is telemetered to the surface. A drill string transfer function is estimated using the drill bit power spectral density, derived from the vibrations of the drill string, measured substantially at the surface, to enhance drill bit seismic techniques.",7 G01V 1/42,/Users/ledionalame/Documents/QMUL/Second Semester/Information Retrieval/Assignment 2/Project/IR-CW2/data/raw/clef_ip/WO-2000000847-A1.xml,63.4923695697089,4.301933595085297,11.44184168535182,14.020656168367264,6.671901161198475
9,WO-2000001934-A1,OPERATING A GAS TURBINE WITH SUPPLEMENTAL COMPRESSED AIR,"A method is provided to ensure that a combustion turbine (12) may operate at maximum power at elevated ambient temperature and/or low air density. The method includes a combustion turbine mode in which air is supplied exclusively from a combustion turbine compressor (14), a compressed air augmentation mode in which additional air is supplied from an air storage (28), and an air storage charging mode in which air from a charging compressor (32) is supplied to the air storage (28). Alternatively, the air storage (28) may be eliminated and the charging compressor (32) sized for full supplemental air flow.",7 F02C 3/30 F02C 6/16,/Users/ledionalame/Documents/QMUL/Second Semester/Information Retrieval/Assignment 2/Project/IR-CW2/data/raw/clef_ip/WO-2000001934-A1.xml,63.42153545780043,0.0,12.686047739023273,17.053385805313482,12.469361271783658
10,WO-2000002212-A1,MAGNETIC SHIELD FOR PRIMARY COIL OF TRANSCUTANEOUS ENERGY TRANSFER DEVICE,"A transcutaneous energy transfer device is provided which has a magnetic shield covering the primary winding of the device to reduce sensitivity of the device to conducting objects in the vicinity of the coils and to increase the percentage of magnetic field generated by the primary coil which reaches the secondary coil. This shield is preferably larger than the primary coil in all dimensions and is either formed of a high permeability flexible material, for example a low loss magnetic material in a flexible polymer matrix, with perforations formed in the material sufficient to permit ventilation of the patient's skin situated under the shield, or the shield may be formed of segments of very high permeability material connected by a flexible, porous mesh material.",7 H01F 38/14 A61N 1/378,/Users/ledionalame/Documents/QMUL/Second Semester/Information Retrieval/Assignment 2/Project/IR-CW2/data/raw/clef_ip/WO-2000002212-A1.xml,60.07560681903508,6.482881068019946,6.254365527686698,13.407841920883008,8.006469678277334
